scorer_short_name,nationality_name,total_game_changing_goals,avg_elo_improvement,fc26_overall_rating
Daniel Prodan,,1,No Elo Data,
Daniel Pudil,,2,No Elo Data,
Daniel Ruiz,,4,No Elo Data,
Daniel Salamanca,,1,No Elo Data,
Daniel Sosah,,3,No Elo Data,
Daniel Sturridge,,4,No Elo Data,
Daniel Ulloa,,1,No Elo Data,
Daniel Van Buyten,,4,No Elo Data,
Daniel Wass,Denmark,1,No Elo Data,71.0
Daniel da Mota,,2,No Elo Data,
Daniel Šmejkal,,1,No Elo Data,
Daniele De Rossi,,8,No Elo Data,
Danilo Montero Campos,,1,No Elo Data,
Danilo Pereira,Portugal,1,28.0,81.0
Danilo Turcios,,3,No Elo Data,
Danival,,1,No Elo Data,
Danko Lazović,,3,No Elo Data,
Danley Jean Jacques,Haiti,1,4.0,70.0
Danny Hay,,1,No Elo Data,
Danny Koevermans,,1,No Elo Data,
Danny Moulis,,3,No Elo Data,
Danny Mrwanda,,2,No Elo Data,
Danny Ward,,1,No Elo Data,
Danny Welbeck,,3,No Elo Data,
Dante Leverock,,2,No Elo Data,
Dante Rossi,,1,No Elo Data,
Dante Sealy,,1,No Elo Data,
Danylo Sikan,Ukraine,1,No Elo Data,74.0
Daníel Leó Grétarsson,Iceland,1,No Elo Data,66.0
Dare Vršič,,1,No Elo Data,
Darijo Srna,,7,No Elo Data,
Darimosuvito Tokijan,,1,No Elo Data,
Dario Khan,,1,No Elo Data,
Dario Đumić,,1,No Elo Data,
Dario Šimić,,2,No Elo Data,
Dario Šits,,2,No Elo Data,
Darius Johnson,,1,No Elo Data,
Darius Maciulevičius,,4,No Elo Data,
Darius Vassell,,1,No Elo Data,
Dariusz Dziekanowski,,3,No Elo Data,
Darko Kovačević,,1,No Elo Data,
Darko Lazović,,1,No Elo Data,
Darko Pančev,,5,No Elo Data,
Darko Velkovski,,3,No Elo Data,
Darren Anderton,,1,No Elo Data,
Darren Debono,,1,No Elo Data,
Darren Fletcher,,3,No Elo Data,
Darren Lok,,1,No Elo Data,
Darren Mattocks,,4,No Elo Data,
Darren McClennan,,1,No Elo Data,
Darryl Gomez,,1,No Elo Data,
Darryl Roberts,,1,No Elo Data,
Darvydas Šernas,,2,No Elo Data,
Darwin Cerén,,1,No Elo Data,
Darwin Lom,,4,No Elo Data,
Darwin Machís,,3,No Elo Data,
Darwin Núñez,,3,No Elo Data,
Daryl Dike,United States,1,113.0,70.0
Daryl Murphy,,2,No Elo Data,
Darío Franco,,1,No Elo Data,
Darío Lezcano,,2,No Elo Data,
Darío Rodríguez,,3,No Elo Data,
Darío Silva,,4,No Elo Data,
Datsakorn Thonglao,,2,No Elo Data,
Dave Clements,,1,No Elo Data,
Dave Mitchell,,2,No Elo Data,
Dave Taylor,,1,No Elo Data,
David Alaba,,5,No Elo Data,
David Beckham,,7,No Elo Data,
David Brekalo,Slovenia,1,No Elo Data,70.0
David Brooks,,3,No Elo Data,
David Buezo,,2,No Elo Data,
David Carabott,,3,No Elo Data,
David Connolly,,1,No Elo Data,
David Cotterill,,1,No Elo Data,
David Douděra,Czechia,2,No Elo Data,74.0
David Edwards,,2,No Elo Data,
David Embé,,2,No Elo Data,
David Fleurival,,1,No Elo Data,
David Giles,,1,No Elo Data,
David Healy,,16,No Elo Data,
David Henry,England,1,35.0,75.0
David Lafata,,1,No Elo Data,
David Limberský,,1,No Elo Data,
David Lowery,,1,No Elo Data,
David Martínez,,1,No Elo Data,
David McGoldrick,,1,No Elo Data,
David Muchineripi,,1,No Elo Data,
David Mulligan,,2,No Elo Data,
David Nakhid,,1,No Elo Data,
David Nyathi,,1,No Elo Data,
David Obua,,1,No Elo Data,
David Ospina,Colombia,1,-3.0,76.0
David Owino,,1,No Elo Data,
David Platt,,4,No Elo Data,
David Raum,Germany,1,-61.0,82.0
David Rugamas,,1,No Elo Data,
David Ruiz,,1,No Elo Data,
David Silva,,7,No Elo Data,
David Siradze,,3,No Elo Data,
David Stokes,,1,No Elo Data,
David Strelec,Slovakia,3,No Elo Data,69.0
David Suazo,,3,No Elo Data,
David Trezeguet,,6,No Elo Data,
David Turpel,,1,No Elo Data,
David Vaughan,,1,No Elo Data,
David Villa,,16,No Elo Data,
David Watson,,1,No Elo Data,
David Weir,,1,No Elo Data,
David Zdrilic,,1,No Elo Data,
David Zeman,,1,No Elo Data,
Davide Frattesi,Italy,3,No Elo Data,81.0
Davie Cooper,,3,No Elo Data,
Davie Wilson,,1,No Elo Data,
Davinson Sánchez,Colombia,2,-7.0,82.0
Davit Mujiri,,1,No Elo Data,
Davor Jozić,,1,No Elo Data,
Davor Vugrinec,,1,No Elo Data,
Davor Šuker,,15,No Elo Data,
Davron Ergashev,,1,No Elo Data,
Davy Klaassen,Netherlands,3,-65.0,77.0
Davy Pröpper,,1,No Elo Data,
Davíð Kristján Ólafsson,Iceland,1,No Elo Data,68.0
Dawit Fekadu,,1,No Elo Data,
Dayot Upamecano,,1,No Elo Data,
Dayro Moreno,,1,No Elo Data,
Dean Saunders,,8,No Elo Data,
Declan Edge,,1,No Elo Data,
Declan Rice,England,3,15.33,87.0
Deco,,1,No Elo Data,
Dede Sulaiman,,1,No Elo Data,
Deividas Česnauskis,,2,No Elo Data,
Deivydas Matulevičius,,2,No Elo Data,
Dejan Damjanović,,3,No Elo Data,
Dejan Jakovic,,1,No Elo Data,
Dejan Kulusevski,Sweden,2,7.0,83.0
Dejan Lovren,Croatia,1,-74.0,72.0
Dejan Savićević,,3,No Elo Data,
Dejan Stanković,,3,No Elo Data,
Dejvi Glavevski,,1,No Elo Data,
Delano Rigters,,1,No Elo Data,
Delfín Benítez Cáceres,,1,No Elo Data,
Delio Gamboa,,1,No Elo Data,
Delio Toledo,,1,No Elo Data,
Delron Buckley,,1,No Elo Data,
Demar Phillips,,3,No Elo Data,
Demarai Gray,,1,No Elo Data,
Demba Malick,,1,No Elo Data,
Deme N'Diaye,,1,No Elo Data,
Demetrio Angola,,1,No Elo Data,
Demetris Christofi,,2,No Elo Data,
Demis Nikolaidis,,1,No Elo Data,
Deng Chyan,,1,No Elo Data,
Denil Maldonado,,1,No Elo Data,
Denis Alibec,Romania,1,No Elo Data,69.0
Denis Bouanga,,2,No Elo Data,
Denis Caniza,,1,No Elo Data,
Denis Cheryshev,,3,No Elo Data,
Denis Drăguș,,1,No Elo Data,
Denis Irwin,,1,No Elo Data,
Denis Laptev,,1,No Elo Data,
Denis Law,,7,No Elo Data,
Denis Obua,,1,No Elo Data,
Denis Vavro,Slovakia,1,No Elo Data,78.0
Denis Zakaria,,1,No Elo Data,
Denis Zmeu,,1,No Elo Data,
Deniss Ivanovs,,1,No Elo Data,
Deniss Rakels,,1,No Elo Data,
Deniz Bozkurt,,1,No Elo Data,
Deniz Gül,Turkey,1,106.0,66.0
Deniz Undav,Germany,4,49.5,80.0
Dennis Alas,,1,No Elo Data,
Dennis Bergkamp,,11,No Elo Data,
Dennis Bryce,,1,No Elo Data,
Dennis Lawrence,,1,No Elo Data,
Dennis Lota,,3,No Elo Data,
Dennis Man,Romania,6,No Elo Data,76.0
Dennis Marshall,,1,No Elo Data,
Dennis Mizzi,,1,No Elo Data,
Dennis Oliech,,4,No Elo Data,
Dennis Praet,Belgium,1,-36.0,73.0
Dennis Rommedahl,,7,No Elo Data,
Dennis Salanović,,2,No Elo Data,
Dennis Wilshaw,,2,No Elo Data,
Dennis Wise,,1,No Elo Data,
Denys Harmash,,1,No Elo Data,
Denzel Dumfries,,4,No Elo Data,
Denílson de Oliveira Araújo,,2,No Elo Data,
Denís Milar,,1,No Elo Data,
Deon Burton,,6,No Elo Data,
Deon Hotto,,1,No Elo Data,
Deon McCaulay,,6,No Elo Data,
Deon Moore,,1,No Elo Data,
Derby Makinka,,1,No Elo Data,
Dereck Somanje,,1,No Elo Data,
Derek Dougan,,2,No Elo Data,
Derek Kevan,,1,No Elo Data,
Derek Spence,,2,No Elo Data,
Derlis González,,3,No Elo Data,
Derlis Soto,,1,No Elo Data,
Dermot Curtis,,1,No Elo Data,
Deroy Duarte,,1,No Elo Data,
Derrick Edwards,,2,No Elo Data,
Derrick Etienne,,1,No Elo Data,
Derrick Luckassen,,1,No Elo Data,
Des Palmer,,1,No Elo Data,
Desiderio Medina,,2,No Elo Data,
Desmond Fa'aiuaso,,1,No Elo Data,
Devarr Boyles,,1,No Elo Data,
Devaun DeGraff,,1,No Elo Data,
Dever Orgill,,1,No Elo Data,
Devi Muka,,1,No Elo Data,
Devon Jarrett,,2,No Elo Data,
Dewan Chand,,1,No Elo Data,
Dexter Blackstock,,1,No Elo Data,
Dezső Novák,,1,No Elo Data,
Dhoraso Klas,,1,No Elo Data,
Dhurgham Ismail,,1,No Elo Data,
Diafra Sakho,,2,No Elo Data,
Dick Nanninga,,1,No Elo Data,
Dick Schoenaker,,2,No Elo Data,
Didi,,5,No Elo Data,
Didier Deschamps,,2,No Elo Data,
Didier Drogba,,14,No Elo Data,
Didier Six,,2,No Elo Data,
Diederick Luydens,,1,No Elo Data,
Diego,,1,No Elo Data,
Diego Bejarano,,2,No Elo Data,
Diego Costa,,5,No Elo Data,
Diego Forlán,,10,No Elo Data,
Diego Fuser,,1,No Elo Data,
Diego García,Spain,1,8.0,69.0
Diego Gavilán,,1,No Elo Data,
Diego Godín,,4,No Elo Data,
Diego Gómez,,1,No Elo Data,
Diego Lugano,,2,No Elo Data,
Diego Luna,,2,No Elo Data,
Diego Maradona,,3,No Elo Data,
Diego Reyes,,1,No Elo Data,
Diego Rolán,,1,No Elo Data,
Diego Simeone,,2,No Elo Data,
Diego Tristán,,2,No Elo Data,
Diego Valdés,,1,No Elo Data,
Dieter Erler,,4,No Elo Data,
Dieter Müller,,3,No Elo Data,
Dieter Ramusch,,1,No Elo Data,
Dietmar Hamann,,1,No Elo Data,
Dietmar Kühbauer,,2,No Elo Data,
Dietrich Albrecht,,1,No Elo Data,
Dieumerci Mbokani,,5,No Elo Data,
Dieuphane Thelamour,,1,No Elo Data,
Dikilu Bageta,,1,No Elo Data,
Dilo Tumua,,1,No Elo Data,
Dimas Drajad,,1,No Elo Data,
Dimitar Berbatov,,14,No Elo Data,
Dimitar Penev,,1,No Elo Data,
Dimitar Telkiyski,,2,No Elo Data,
Dimitar Yakimov,,3,No Elo Data,
Dimitri Payet,,3,No Elo Data,
Dimitrij Nazarov,,4,No Elo Data,
Dimitrios Limnios,,2,No Elo Data,
Dimitrios Pelkas,Greece,1,No Elo Data,72.0
Dimitris Kokkinakis,,1,No Elo Data,
Dimitris Kolovos,,1,No Elo Data,
Dimitris Markos,,1,No Elo Data,
Dimitris Mavrogenidis,,1,No Elo Data,
Dimitris Papadopoulos,,1,No Elo Data,
Dimitris Salpingidis,,7,No Elo Data,
Dimitris Saravakos,,5,No Elo Data,
Dinardo Rodríguez,,1,No Elo Data,
Diney,,2,No Elo Data,
Diniyar Bilyaletdinov,,2,No Elo Data,
Dinko Dermendzhiev,,3,No Elo Data,
Dino Baggio,,3,No Elo Data,
Dinos Kouis,,4,No Elo Data,
Diogo Dalot,Portugal,2,-6.5,79.0
Diogo Jota,,1,No Elo Data,
Dioko Kaluyituka,,1,No Elo Data,
Diomandé Losseni,,2,No Elo Data,
Dion Charles,,1,No Elo Data,
Dion Cools,,1,No Elo Data,
Dionisio Arce,,2,No Elo Data,
Dionisio Fernandes,,1,No Elo Data,
Dionisio Mejía,,1,No Elo Data,
Dipsy Selolwane,,3,No Elo Data,
Dirceu,,2,No Elo Data,
Dirk Kuyt,,4,No Elo Data,
Divock Origi,,1,No Elo Data,
Djair Parfitt,,1,No Elo Data,
Djalma Campos,,1,No Elo Data,
Djalminha,,1,No Elo Data,
Djamel Amani,,2,No Elo Data,
Djamel Belmadi,,1,No Elo Data,
Djamel Menad,,5,No Elo Data,
Djamel Zidane,,2,No Elo Data,
Djibril Cissé,,2,No Elo Data,
Djibril Sow,,1,No Elo Data,
Djihad Bizimana,,1,No Elo Data,
Djiman Koukou,,1,No Elo Data,
Djimy Alexis,,1,No Elo Data,
Djogou Akoulassi,,1,No Elo Data,
Djordje Mihailovic,,1,No Elo Data,
Djumadurdy Meredov,,1,No Elo Data,
Dmitri Alenichev,,1,No Elo Data,
Dmitri Bulykin,,3,No Elo Data,
Dmitri Kirichenko,,1,No Elo Data,
Dmitri Radchenko,,1,No Elo Data,
Dmitri Sychev,,2,No Elo Data,
Dmitri Torbinski,,1,No Elo Data,
Dmitrijs Zelenkovs,,1,No Elo Data,
Dmitry Antilevsky,,1,No Elo Data,
Dmitry Byakov,,4,No Elo Data,
Dmitry Verkhovtsov,,1,No Elo Data,
Dodi Lukebakio,Belgium,1,43.0,82.0
Dodo Dokou,,1,No Elo Data,
Doeur Sokhom,,2,No Elo Data,
Dollah Kassim,,1,No Elo Data,
Dollah Salleh,,4,No Elo Data,
Dolores Cruz,,1,No Elo Data,
Domagoj Vida,Croatia,1,-30.0,74.0
Domen Črnigoj,,1,No Elo Data,
Domenic Mobilio,,3,No Elo Data,
Domenico Berardi,Italy,1,No Elo Data,82.0
Domiciano Cavém,,1,No Elo Data,
Domingo Peralta,,1,No Elo Data,
Domingo Pérez,,1,No Elo Data,
Domingo Tarasconi,,3,No Elo Data,
Domingos Paciência,,4,No Elo Data,
Domingues,Brazil,2,27.5,72.0
Dominic Abui Pretino,,1,No Elo Data,
Dominik Nagy,,1,No Elo Data,
Dominik Szoboszlai,Hungary,10,No Elo Data,83.0
Dominique Rocheteau,,4,No Elo Data,
Don Deedson Louicius,,2,No Elo Data,
Don Givens,,5,No Elo Data,
Don Hutchison,,2,No Elo Data,
Don Masson,,1,No Elo Data,
Donald Peláez,,1,No Elo Data,
Donald-Olivier Sié,,1,No Elo Data,
Donatas Kazlauskas,,1,No Elo Data,
Donato Gama da Silva,,1,No Elo Data,
Donervon Daniels,,1,No Elo Data,
Donny van de Beek,Netherlands,1,-23.0,76.0
Donyell Malen,Netherlands,2,26.5,79.0
Dor Peretz,,6,No Elo Data,
Dorgeles Nene,Mali,2,No Elo Data,71.0
Dorin Goian,,1,No Elo Data,
Dorin Mateuț,,2,No Elo Data,
Dorinel Munteanu,,5,No Elo Data,
Dorny Romero,,3,No Elo Data,
Doug Utjesenovic,,1,No Elo Data,
Dougie Freedman,,1,No Elo Data,
Douglas Costa,,2,No Elo Data,
Dové Womé,,1,No Elo Data,
Doyle Vaca,,1,No Elo Data,
Doğukan Sinik,Turkey,1,-15.0,68.0
Dragan Dimitrovski,,1,No Elo Data,
Dragan Džajić,,2,No Elo Data,
Dragan Mladenović,,1,No Elo Data,
Dragan Pantelić,,1,No Elo Data,
Dragan Stojković,,5,No Elo Data,
Dragoș Grigore,,1,No Elo Data,
Dramane Coulibaly,,1,No Elo Data,
Dražan Jerković,,3,No Elo Data,
Dries Mertens,,6,No Elo Data,
Driss Bamous,,1,No Elo Data,
Duane Muckette,,1,No Elo Data,
Duberty Aráoz,,1,No Elo Data,
Duckens Nazon,,8,No Elo Data,
Dudu Georgescu,,3,No Elo Data,
Dumisa Ngobe,,1,No Elo Data,
Duncan Shearer,,1,No Elo Data,
Dunga,,1,No Elo Data,
Dusit Chalermsan,,1,No Elo Data,
Dustin Corea,,1,No Elo Data,
Duván Zapata,,2,No Elo Data,
Dušan Bajević,,2,No Elo Data,
Dušan Galis,,1,No Elo Data,
Dušan Kabát,,1,No Elo Data,
Dušan Tadić,,5,No Elo Data,
Dušan Tittel,,3,No Elo Data,
Dušan Vlahović,Serbia,7,No Elo Data,82.0
Dušan Švento,,1,No Elo Data,
Duško Tošić,,1,No Elo Data,
Dwayne De Rosario,,8,No Elo Data,
Dwayne Stanford,,1,No Elo Data,
Dwight Allers Kelley,,2,No Elo Data,
Dwight Yorke,,1,No Elo Data,
Dylan Bronn,,2,No Elo Data,
Dzintars Sproģis,,1,No Elo Data,
Dámaso Silva,,1,No Elo Data,
Dániel Böde,,4,No Elo Data,
Dániel Gazdag,Hungary,1,No Elo Data,74.0
Dániel Lukács,Hungary,1,No Elo Data,67.0
Dário Monteiro,,1,No Elo Data,
Dávid Hancko,Slovakia,3,No Elo Data,83.0
Dávid Sigér,,1,No Elo Data,
Dávid Ďuriš,Slovakia,1,No Elo Data,70.0
Dölgöön Amaraa,,1,No Elo Data,
Dāvis Ikaunieks,,2,No Elo Data,
Dževdet Šainovski,,1,No Elo Data,
Džoni Novak,,2,No Elo Data,
Earl Jean,,1,No Elo Data,
Earnie Stewart,,2,No Elo Data,
Ebbe Sand,,5,No Elo Data,
Eber Moas,,1,No Elo Data,
Eberhard Vogel,,3,No Elo Data,
Ebrima Ebou Sillah,,1,No Elo Data,
Ed Murphy,,1,No Elo Data,
Ed Valentine,,1,No Elo Data,
Eddie Gray,,1,No Elo Data,
Eddie Johnson,,5,No Elo Data,
Eddie Krncevic,,1,No Elo Data,
Eddie Lewis,,2,No Elo Data,
Eddie McMorran,,1,No Elo Data,
Eddie Pope,,2,No Elo Data,
Eddie Rukumana,,1,No Elo Data,
Eddie Theobald,,1,No Elo Data,
Eddy Berdusco,,1,No Elo Data,
Eddy Carazas,,1,No Elo Data,
Eddy Kaspard,,1,No Elo Data,
Edema Fuludu,,1,No Elo Data,
Eden Ben Basat,,1,No Elo Data,
Eden Hazard,,7,No Elo Data,
Eder,,1,No Elo Data,
Edgar Angulo,,1,No Elo Data,
Edgar Bernhardt,,1,No Elo Data,
Edgar Davids,,2,No Elo Data,
Edgar Manucharyan,,1,No Elo Data,
Edgar Marín,,3,No Elo Data,
Edgar Olivares,,1,No Elo Data,
Edgar Valencia,,1,No Elo Data,
Edgar Çani,,2,No Elo Data,
Edgaras Jankauskas,,5,No Elo Data,
Edgaras Česnauskis,,1,No Elo Data,
Edgardo Adinolfi,,1,No Elo Data,
Edgars Gauračs,,1,No Elo Data,
Edhem Šljivo,,1,No Elo Data,
Edibily Lunyamila,,1,No Elo Data,
Edin Džeko,Bosnia and Herzegovina,23,2.93,81.0
Edin Mujčin,,1,No Elo Data,
Edin Sprečo,,1,No Elo Data,
Edin Višća,Bosnia and Herzegovina,1,12.0,78.0
Edinson Cavani,,16,No Elo Data,
Edison Flores,,8,No Elo Data,
Edixon Perea,,1,No Elo Data,
Edmond Abazi,,1,No Elo Data,
Edmond Apéti Kaolo,,2,No Elo Data,
Edmond Kapllani,,1,No Elo Data,
Edmond Tapsoba,,2,No Elo Data,
Edmund Conen,,1,No Elo Data,
Edmundo,,1,No Elo Data,
Edmundo Alves de Souza Neto,,1,No Elo Data,
Edo Ophof,,1,No Elo Data,
Edon Zhegrova,Kosovo,1,No Elo Data,79.0
Edrick Menjívar,,1,No Elo Data,
Edson Castillo,,1,No Elo Data,
Edson Minga,,1,No Elo Data,
Edson Puch,,1,No Elo Data,
Edson Álvarez,,3,No Elo Data,
Eduard Abazi,,1,No Elo Data,
Eduard Bello,,4,No Elo Data,
Eduard Ellman-Eelma,,1,No Elo Data,
Eduard Glieder,,2,No Elo Data,
Eduard Malofeyev,,3,No Elo Data,
Eduard Spertsyan,,4,No Elo Data,
Eduard Streltsov,,2,No Elo Data,
Eduardas Čižauskas,,1,No Elo Data,
"Eduardo ""Volkswagen"" Hernández",,5,No Elo Data,
Eduardo Bennett,,5,No Elo Data,
Eduardo Chavarria,,2,No Elo Data,
Eduardo Fernando Gomes,,2,No Elo Data,
Eduardo González Valiño,,1,No Elo Data,
Eduardo Guerrero,,1,No Elo Data,
Eduardo Hurtado,,1,No Elo Data,
Eduardo Ithurbide,,1,No Elo Data,
Eduardo Laing,,3,No Elo Data,
Eduardo Mario Acevedo,,1,No Elo Data,
Eduardo Mingo,,2,No Elo Data,
Eduardo Retat,,1,No Elo Data,
Eduardo Sebrango,,2,No Elo Data,
Eduardo Vargas,,14,No Elo Data,
Eduardo da Silva,Brazil,9,22.5,70.0
Eduards Emsis,,2,No Elo Data,
Eduvigis Rudolfo Dirksz,,1,No Elo Data,
Edvard Lasota,,1,No Elo Data,
Edvin Kuč,,2,No Elo Data,
Edvin Murati,,3,No Elo Data,
Edvin Muratović,,1,No Elo Data,
Edvinas Girdvainis,,1,No Elo Data,
Edward Acquah,,3,No Elo Data,
Edward Aggrey-Fynn,,1,No Elo Data,
Edward Jankowski,,1,No Elo Data,
Edward Jildo,,1,No Elo Data,
Edwin Cardona,,3,No Elo Data,
Edwin Clarcke,,1,No Elo Data,
Edwin Gyasi,,1,No Elo Data,
Edwin Loran,,1,No Elo Data,
Edwin Miliano Loran,,1,No Elo Data,
Edwin Mukenya,,1,No Elo Data,
Edwin Rodríguez,,1,No Elo Data,
Edílson,Argentina,1,19.0,63.0
Edú Marangón,,1,No Elo Data,
Efraín Juárez,,1,No Elo Data,
Efstathios Aloneftis,,2,No Elo Data,
Egisto Pandolfini,,1,No Elo Data,
Egor Krimets,,1,No Elo Data,
Egy Maulana Vikri,,1,No Elo Data,
Ehsan Hajsafi,,2,No Elo Data,
Ehson Panjshanbe,,1,No Elo Data,
Eid Al Rashidi,,1,No Elo Data,
Eimantas Poderis,,1,No Elo Data,
Einar Daníelsson,,1,No Elo Data,
Eitan Tibi,,1,No Elo Data,
Eiður Guðjohnsen,,4,No Elo Data,
Ekanit Panya,,1,No Elo Data,
Eko Purdjianto,,1,No Elo Data,
El Arbi Hababi,,1,No Elo Data,
El Hadji Diouf,,4,No Elo Data,
El Hadji Oumar Guèye,,1,No Elo Data,
Eladio Benítez,,1,No Elo Data,
Eladio Rojas,,2,No Elo Data,
Eladio Zárate,,1,No Elo Data,
Elba de Padua Lima,,1,No Elo Data,
Elbasan Rashani,,1,No Elo Data,
Eldar Ćivić,,1,No Elo Data,
Eldor Shomurodov,Uzbekistan,6,14.5,74.0
Elek Nyilas,,1,No Elo Data,
Eli Dasa,,1,No Elo Data,
Eli Ohana,,2,No Elo Data,
Elias Hossain,,1,No Elo Data,
Elias Uzamukunda,,1,No Elo Data,
Elie Aiboy,,2,No Elo Data,
Elif Elmas,North Macedonia,5,No Elo Data,77.0
Eligio Antonio Insfrán,,1,No Elo Data,
Elijah Just,,1,No Elo Data,
Elijah Litana,,2,No Elo Data,
Elijah Tana,,1,No Elo Data,
Eliphas Shivute,,2,No Elo Data,
Eliseo Quintanilla,,3,No Elo Data,
Eljero Elia,,1,No Elo Data,
Elkan Baggott,,1,No Elo Data,
Elly Adero,,1,No Elo Data,
Ellyes Skhiri,,3,No Elo Data,
Elmer Acevedo,,1,No Elo Data,
Elmer Rosas,,1,No Elo Data,
Elmo Kambindu,,1,No Elo Data,
Elrio van Heerden,,1,No Elo Data,
Elroy Kuylen,,1,No Elo Data,
Elsad Zverotić,,1,No Elo Data,
Elvio Banchero,,2,No Elo Data,
Elvir Baljić,,5,No Elo Data,
Elvir Bolić,,8,No Elo Data,
Elvis Kafoteka,,1,No Elo Data,
Elvis Macedo Babanco,,1,No Elo Data,
Elvis Rexhbeçaj,Kosovo,2,No Elo Data,74.0
Elyaniv Barda,,4,No Elo Data,
Elías Figueroa,,1,No Elo Data,
Elías Hernández,,1,No Elo Data,
Elías Montes,,1,No Elo Data,
Emad Ayoub,,2,No Elo Data,
Emad Mohammed,,4,No Elo Data,
Emad Moteab,,4,No Elo Data,
Emad Suleiman,,2,No Elo Data,
Emanuel Pogatetz,,1,No Elo Data,
Emanuele Giaccherini,,2,No Elo Data,
Emeka Mamale,,1,No Elo Data,
Emelio Caligdong,,1,No Elo Data,
Emery Welshman,,1,No Elo Data,
Emil Forsberg,,12,No Elo Data,
Emil Kostadinov,,6,No Elo Data,
Emil Lőrincz,,1,No Elo Data,
Emil Pažický,,1,No Elo Data,
Emile Pierre Diéme,,1,No Elo Data,
Emile Saimovici,,1,No Elo Data,
Emili García,,1,No Elo Data,
Emiliano González Arqués,,1,No Elo Data,
Emilio Butragueño,,5,No Elo Data,
Emilio Nsue,,3,No Elo Data,
Emilio Palacios,Colombia,1,96.0,66.0
Emin Ağayev,,1,No Elo Data,
Emin Imamaliev,,1,No Elo Data,
Emin Mahmudov,,4,No Elo Data,
Emir Spahić,,3,No Elo Data,
Emmanuel Adebayor,,9,No Elo Data,
Emmanuel Ake,,1,No Elo Data,
Emmanuel Amunike,,2,No Elo Data,
Emmanuel Duah,,1,No Elo Data,
Emmanuel Eboué,,1,No Elo Data,
Emmanuel Emenike,,3,No Elo Data,
Emmanuel Feseha,,1,No Elo Data,
Emmanuel Koum,,1,No Elo Data,
Emmanuel Kundé,,2,No Elo Data,
Emmanuel Maboang,,2,No Elo Data,
Emmanuel Mayuka,,3,No Elo Data,
Emmanuel Musonda,,1,No Elo Data,
Emmanuel Okwi,,3,No Elo Data,
Emmanuel Ola,,1,No Elo Data,
Emmanuel Olisadebe,,3,No Elo Data,
Emmanuel Osei Kuffour,,1,No Elo Data,
Emmanuel Petit,,2,No Elo Data,
Emmanuel Poila,,1,No Elo Data,
Emmanuel Sanon,,6,No Elo Data,
Emmanuel Tiki,,1,No Elo Data,
Emmanuel Vincent,,1,No Elo Data,
Emment Kapengwe,,1,No Elo Data,
Emmerson Boyce,,1,No Elo Data,
Emory Núñez,,1,No Elo Data,
Emre Akbaba,Turkey,2,-21.0,72.0
Emre Aşık,,2,No Elo Data,
Emre Belözoğlu,,3,No Elo Data,
Endang Witarsa,,1,No Elo Data,
Ender Konca,,1,No Elo Data,
Endri Çekiçi,,1,No Elo Data,
Energio Díaz,,1,No Elo Data,
Enes Ünal,Turkey,1,88.0,77.0
Enis Bardhi,North Macedonia,10,No Elo Data,74.0
Enner Valencia,,13,No Elo Data,
Enock Mwepu,,1,No Elo Data,
Enrico Chiesa,,1,No Elo Data,
Enrico Hernández,,1,No Elo Data,
Enrico Pepe,,1,No Elo Data,
Enrique Borja,,1,No Elo Data,
Enrique Cantos,,1,No Elo Data,
Enrique Córdoba,,1,No Elo Data,
Enrique Esqueda,,1,No Elo Data,
Enrique García,Spain,4,-0.67,76.0
Enrique Grey Fúnez,,1,No Elo Data,
Enrique Guaita,,1,No Elo Data,
Enrique Hormazábal,,3,No Elo Data,
Enrique Jara Saguier,,1,No Elo Data,
Enrique Mateos,,1,No Elo Data,
Enrique Raymondi,,3,No Elo Data,
Enrique Saura,,1,No Elo Data,
Enrique Tenemás,,1,No Elo Data,
Enrique Vera,,1,No Elo Data,
Enrique Ávalos,,1,No Elo Data,
Enzo Fernández,,1,No Elo Data,
Enzo Francescoli,,3,No Elo Data,
Enzo Scifo,,5,No Elo Data,
Eoin Jess,,1,No Elo Data,
Epeli Saukuru,,1,No Elo Data,
Eran Zahavi,,12,No Elo Data,
Erasto Nyoni,,1,No Elo Data,
Eren Derdiyok,,3,No Elo Data,
Erhan Önal,,1,No Elo Data,
Eric Akoto,,1,No Elo Data,
Eric Bicfalvi,,1,No Elo Data,
Eric Cantona,,3,No Elo Data,
Eric Davis,,4,No Elo Data,
Eric Dier,,1,No Elo Data,
Eric Eichmann,,1,No Elo Data,
Eric Etaeta,,1,No Elo Data,
Eric Gerets,,1,No Elo Data,
Eric Hoffmann,,1,No Elo Data,
Eric Maxim Choupo-Moting,Cameroon,4,No Elo Data,75.0
Eric McMordie,,1,No Elo Data,
Eric Tinkler,,1,No Elo Data,
Eric Wynalda,,10,No Elo Data,
Erich Beer,,1,No Elo Data,
Erich Hof,,2,No Elo Data,
Erich Probst,,2,No Elo Data,
Erick Miranda,,1,No Elo Data,
Erick Ozuna,,2,No Elo Data,
Erick Pulgar,,2,No Elo Data,
Erik Hagen,,1,No Elo Data,
Erik Holmgren,,2,No Elo Data,
Erik Huseklepp,,2,No Elo Data,
Erik Janža,Slovenia,2,No Elo Data,69.0
Erik Jendrišek,,1,No Elo Data,
Erik Jirka,Slovakia,1,No Elo Data,68.0
Erik Johansen,,2,No Elo Data,
Erik Just Olsen,,1,No Elo Data,
Erik Lamela,,1,No Elo Data,
